PFBCOLO CB Equity;ECOPETL CB Equity;GRUPOSUR CB Equity;BCOLO CB Equity;ISA CB Equity;NUTRESA CB Equity;GEB CB Equity;GRUPOARG CB Equity;PFAVAL CB Equity;PFGRUPSU CB Equity;PFDAVVND CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;EXITO CB Equity;BOGOTA CB Equity;CELSIA CB Equity;CORFICOL CB Equity;PFCEMARG CB Equity;CLH CB Equity;AVAL CB Equity;PFAVH CB Equity;BVC CB Equity;CNEC CB Equity;CONCONC CB Equity;ETB CB Equity
 25.780 ; 1.395 ; 39.220 ; 24.000 ; 9.170 ; 25.320 ; 1.800 ; 18.860 ; 1.180 ; 38.500 ; 26.620 ; 11.840 ; 18.160 ; 14.080 ; 58.980 ; 3.867 ; 36.750 ; 11.020 ; 12.300 ; 1.165 ; 2.380 ; 9.200 ; 10.160 ; 1.100 ; 590 
 25.860 ; 1.410 ; 39.380 ; 24.100 ; 9.200 ; 25.600 ; 1.800 ; 19.080 ; 1.175 ; 38.500 ; 26.860 ; 11.960 ; 18.380 ; 14.360 ; 58.500 ; 3.837 ; 36.826 ; 11.020 ; 12.500 ; 1.165 ; 2.410 ; 9.300 ; 9.860 ; 1.100 ; 595 
 26.040 ; 1.400 ; 39.680 ; 24.200 ; 9.180 ; 25.760 ; 1.805 ; 19.500 ; 1.175 ; 38.860 ; 26.860 ; 11.960 ; 18.460 ; 14.480 ; 58.600 ; 3.872 ; 37.113 ; 11.060 ; 12.680 ; 1.170 ; 2.450 ; 9.400 ; 9.720 ; 1.100 ; 599 
 25.980 ; 1.410 ; 39.800 ; 24.060 ; 9.130 ; 25.700 ; 1.805 ; 19.480 ; 1.180 ; 39.000 ; 27.000 ; 11.940 ; 18.500 ; 14.460 ; 58.600 ; 3.842 ; 36.673 ; 11.060 ; 12.600 ; 1.165 ; 2.445 ; 9.250 ; 9.700 ; 1.110 ; 600 
 25.960 ; 1.390 ; 39.980 ; 24.000 ; 9.190 ; 25.500 ; 1.805 ; 19.500 ; 1.170 ; 39.200 ; 27.100 ; 11.980 ; 18.560 ; 14.500 ; 59.000 ; 3.837 ; 36.826 ; 11.020 ; 12.700 ; 1.165 ; 2.395 ; 9.250 ; 9.450 ; 1.120 ; 596 
 25.960 ; 1.390 ; 39.980 ; 24.000 ; 9.190 ; 25.500 ; 1.805 ; 19.500 ; 1.170 ; 39.200 ; 27.100 ; 11.980 ; 18.560 ; 14.500 ; 59.000 ; 3.837 ; 36.826 ; 11.020 ; 12.700 ; 1.165 ; 2.395 ; 9.250 ; 9.450 ; 1.120 ; 596 
 26.000 ; 1.365 ; 39.840 ; 24.120 ; 9.100 ; 25.680 ; 1.795 ; 19.040 ; 1.170 ; 39.000 ; 27.020 ; 11.700 ; 18.160 ; 14.500 ; 59.000 ; 3.837 ; 36.329 ; 10.900 ; 12.400 ; 1.165 ; 2.395 ; 9.250 ; 9.490 ; 1.115 ; 595 
 26.160 ; 1.360 ; 39.900 ; 24.200 ; 9.190 ; 25.600 ; 1.790 ; 19.140 ; 1.195 ; 39.200 ; 27.000 ; 11.700 ; 18.300 ; 14.560 ; 58.500 ; 3.842 ; 36.329 ; 10.980 ; 12.400 ; 1.195 ; 2.380 ; 9.250 ; 9.490 ; 1.115 ; 595 
 25.860 ; 1.335 ; 39.700 ; 23.820 ; 9.120 ; 25.520 ; 1.820 ; 18.900 ; 1.175 ; 39.000 ; 27.060 ; 11.780 ; 18.120 ; 14.480 ; 58.500 ; 3.852 ; 36.348 ; 10.980 ; 12.300 ; 1.175 ; 2.340 ; 9.200 ; 9.080 ; 1.115 ; 595 
 25.800 ; 1.340 ; 38.800 ; 23.960 ; 9.100 ; 25.560 ; 1.835 ; 18.900 ; 1.170 ; 38.000 ; 26.600 ; 11.660 ; 18.040 ; 14.100 ; 58.500 ; 3.778 ; 36.348 ; 10.860 ; 12.160 ; 1.170 ; 2.340 ; 9.000 ; 9.400 ; 1.100 ; 596 
 26.120 ; 1.325 ; 39.060 ; 24.100 ; 9.130 ; 25.580 ; 1.830 ; 19.080 ; 1.180 ; 38.400 ; 26.800 ; 11.600 ; 18.100 ; 14.340 ; 58.520 ; 3.778 ; 36.310 ; 10.760 ; 12.540 ; 1.175 ; 2.395 ; 9.000 ; 9.320 ; 1.095 ; 602 
 26.000 ; 1.295 ; 38.980 ; 24.140 ; 9.150 ; 25.520 ; 1.820 ; 19.020 ; 1.180 ; 38.400 ; 26.980 ; 11.660 ; 18.120 ; 13.980 ; 58.500 ; 3.778 ; 36.520 ; 10.740 ; 12.500 ; 1.175 ; 2.360 ; 9.200 ; 9.440 ; 1.100 ; 600 
 26.300 ; 1.300 ; 38.320 ; 24.300 ; 9.090 ; 25.220 ; 1.810 ; 18.500 ; 1.170 ; 37.520 ; 27.000 ; 11.500 ; 17.700 ; 14.000 ; 58.300 ; 3.724 ; 36.712 ; 10.560 ; 12.400 ; 1.165 ; 2.305 ; 9.000 ; 9.290 ; 1.090 ; 600 
 26.020 ; 1.250 ; 38.620 ; 24.200 ; 9.130 ; 25.140 ; 1.815 ; 18.620 ; 1.175 ; 37.840 ; 26.940 ; 11.620 ; 17.820 ; 14.000 ; 58.700 ; 3.758 ; 36.635 ; 10.740 ; 12.260 ; 1.170 ; 2.320 ; 9.150 ; 9.220 ; 1.085 ; 600 
 26.080 ; 1.205 ; 38.580 ; 24.200 ; 9.160 ; 25.140 ; 1.820 ; 18.680 ; 1.175 ; 37.460 ; 27.060 ; 11.680 ; 17.900 ; 13.900 ; 58.700 ; 3.768 ; 36.731 ; 10.780 ; 12.100 ; 1.175 ; 2.280 ; 9.200 ; 9.560 ; 1.095 ; 603 
 26.300 ; 1.235 ; 38.000 ; 24.380 ; 9.100 ; 25.160 ; 1.825 ; 18.500 ; 1.175 ; 37.300 ; 27.000 ; 11.540 ; 18.400 ; 13.980 ; 59.200 ; 3.773 ; 36.253 ; 10.600 ; 12.140 ; 1.170 ; 2.255 ; 9.250 ; 9.850 ; 1.095 ; 596 
